verb,definition,root,present_1,present_2,present_3,present_4,present_5,present_6,presentNegative_1,presentNegative_2,presentNegative_3,presentNegative_4,presentNegative_5,presentNegative_6,past_1,past_2,past_3,past_4,past_5,past_6,future_1,future_2,future_3,future_4,future_5,future_6
serî lê dan,ziyaret etmek,,serî lê didim,serî lê didî,serî lê dide,serî lê didin,serî lê didin,serî lê didin,serî lê nadim,serî lê nadî,serî lê nade,serî lê nadin,serî lê nadin,serî lê nadin,,,,,,,,,,,,
şêwirîn,danışmak,,,,,,,,,,,,,,,,,,,,,,,,,
şewitandin,yakmak,,dişewitim,dişewitî,dişewite,dişewitin,dişewitin,dişewitin,naşewitim,naşewitî,naşewite,naşewitin,naşewitin,naşewitin,,,,,,,,,,,,
şibîn,benzemeke,,,,,,,,,,,,,,,,,,,,,,,,,
şik kirin,şüphelenmek,,şik dikim,şik dikî,şik dike,şik dikin,şik dikin,şik dikin,şik nakim,şik nakî,şik nake,şik nakin,şik nakin,şik nakin,,,,,,,,,,,,
şikandin,kırmak,,,,,,,,,,,,,,,,,,,,,,,,,
şiyarbûn,uyanmak,,,,,,,,,,,,,,,,,,,,,,,,,
şopandin,takip etmek,,,,,,,,,,,,,,,,,,,,,,,,,
soz dan,söz vermek,,soz didim,soz didî,soz dide,soz didin,soz didin,soz didin,soz nadim,soz nadî,soz nade,soz nadin,soz nadin,soz nadin,,,,,,,,,,,,
sparîş dan,sipariş vermek,,sparîş didim,sparîş didî,sparîş dide,sparîş didin,sparîş didin,sparîş didin,sparîş nadim,sparîş nadî,sparîş nade,sparîş nadin,sparîş nadin,sparîş nadin,,,,,,,,,,,,
spas kirin,teşekkür etmek,,spas dikim,spas dikî,spas dike,spas dikin,spas dikin,spas dikin,spas nakim,spas nakî,spas nake,spas nakin,spas nakin,spas nakin,,,,,,,,,,,,
standin,almak,,,,,,,,,,,,,,,,,,,,,,,,,
stran gotin,şarkı söylemek,,,,,,,,,,,,,,,,,,,,,,,,,
şûştin,yıkamak,,,,dişo,,,,,,,,,,,,,,,,,,,,,
tamîr kirin,tamir etmek,,tamîr dikim,tamîr dikî,tamîr dike,tamîr dikin,tamîr dikin,tamîr dikin,tamîr nakim,tamîr nakî,tamîr nake,tamîr nakin,tamîr nakin,tamîr nakin,,,,,,,,,,,,
tehm kirin,tatmak,,tehm dikim,tehm dikî,tehm dike,tehm dikin,tehm dikin,tehm dikin,tehm nakim,tehm nakî,tehm nake,tehm nakin,tehm nakin,tehm nakin,,,,,,,,,,,,
têk birin,yenmek,,,,,,,,,,,,,,,,,,,,,,,,,
têketin,girmek,,,,,,,,,,,,,,,,,,,,,,,,,
telefon kirin,telefon etmek,,telefon dikim,telefon dikî,telefon dike,telefon dikin,telefon dikin,telefon dikin,telefon nakim,telefon nakî,telefon nake,telefon nakin,telefon nakin,telefon nakin,,,,,,,,,,,,
temaşe kirin,seyretmek,,temaşe dikim,temaşe dikî,temaşe dike,temaşe dikin,temaşe dikin,temaşe dikin,temaşe nakim,temaşe nakî,temaşe nake,temaşe nakin,temaşe nakin,temaşe nakin,,,,,,,,,,,,
tercîh kirin,tercih etmek,,tercîh dikim,tercîh dikî,tercîh dike,tercîh dikin,tercîh dikin,tercîh dikin,tercîh nakim,tercîh nakî,tercîh nake,tercîh nakin,tercîh nakin,tercîh nakin,,,,,,,,,,,,
tevê kirin,eklemek,,tevê dikim,tevê dikî,tevê dike,tevê dikin,tevê dikin,tevê dikin,tevê nakim,tevê nakî,tevê nake,tevê nakin,tevê nakin,tevê nakin,,,,,,,,,,,,
tevlîhev kirin,karıştırmak,,tevlîhev dikim,tevlîhev dikî,tevlîhev dike,tevlîhev dikin,tevlîhev dikin,tevlîhev dikin,tevlîhev nakim,tevlîhev nakî,tevlîhev nake,tevlîhev nakin,tevlîhev nakin,tevlîhev nakin,,,,,,,,,,,,
tewsiye kirin,tavsiye etmek,,tewsiye dikim,tewsiye dikî,tewsiye dike,tewsiye dikin,tewsiye dikin,tewsiye dikin,tewsiye nakim,tewsiye nakî,tewsiye nake,tewsiye nakin,tewsiye nakin,tewsiye nakin,,,,,,,,,,,,
tî bûn,susamak,,tî dibim,tî dibî,tî dibe,tî dibin,tî dibin,tî dibin,tî nabim,tî nabî,tî nabe,tî nabin,tî nabin,tî nabin,,,,,,,,,,,,
tijî kirin,doldurmak,,tijî dikim,tijî dikî,tijî dike,tijî dikin,tijî dikin,tijî dikin,tijî nakim,tijî nakî,tijî nake,tijî nakin,tijî nakin,tijî nakin,,,,,,,,,,,,
tika kirin,rica etmek,,tika dikim,tika dikî,tika dike,tika dikin,tika dikin,tika dikin,tika nakim,tika nakî,tika nake,tika nakin,tika nakin,tika nakin,,,,,,,,,,,,
tirsîn,korkmak,,,,,,,,,,,,,,,,,,,,,,,,,
tomar kirin,kaydetmek,,tomar dikim,tomar dikî,tomar dike,tomar dikin,tomar dikin,tomar dikin,tomar nakim,tomar nakî,tomar nake,tomar nakin,tomar nakin,tomar nakin,,,,,,,,,,,,
traş bûn,tıraş olmak,,traş dibim,traş dibî,traş dibe,traş dibin,traş dibin,traş dibin,traş nabim,traş nabî,traş nabe,traş nabin,traş nabin,traş nabin,,,,,,,,,,,,
vebûn,açılmak,,vedibim,vedibî,vedibe,vedibin,vedibin,vedibin,navibim,navibî,navibe,navibin,navibin,navibin,,,,,,,,,,,,
vedîtin,keşfetmek,,,,,,,,,,,,,,,,,,,,,,,,,
vegerandin,geri çevirmek,,,,,,,,,,,,,,,,,,,,,,,,,
vegerîn,dönmek,,vedigerim,vedigerî,vedigere,vedigerin,vedigerin,vedigerin,navigerim,navigerî,navigere,navigerin,navigerin,navigerin,,,,,,,,,,,,
vegotin,anlatmak,,,,,,,,,,,,,,,,,,,,,,,,,
vekirin,açmak,,vedikim,vedikî,vedikie,vedikin,vedikin,vedikin,nadikim,nadikî,nadike,nadikin,nadikin,nadikin,,,,,,,,,,,,
veqetandin,ayırmak,,,,,,,,,,,,,,,,,,,,,,,,,
veqetîn,ayrılmak,,,,,,,,,,,,,,,,,,,,,,,,,
vexwarin,içmek,,vedixwim,vedixwî,vedixwe,vedixwin,vedixwin,vedixwin,nadixwim,nadixwî,nadixwe,nadixwin,nadixwin,nadixwin,,,,,,,,,,,,
vexwendin,davet etmek,,,,,,,,,,,,,,,,,,,,,,,,,
wergerandin,tercüme etmek,,,,,,,,,,,,,,,,,,,,,,,,,
weşîn,dökülmek,,diweşim,diweşî,diweşe,diweşin,diweşin,diweşin,naweşim,naweşî,naweşe,naweşin,naweşin,naweşin,,,,,,,,,,,,
xebitîn,çalışmak,,dixebitim,dixebitî,dixebite,dixebitin,dixebitin,dixebitin,naxebitim,naxebitî,naxebite,naxebitin,naxebitin,naxebitin,,,,,,,,,,,,
xeletî kirin,hata yapmak,,xeletî dikim,xeletî dikî,xeletî dike,xeletî dikin,xeletî dikin,xeletî dikin,xeletî nakim,xeletî nakî,xeletî nake,xeletî nakin,xeletî nakin,xeletî nakin,,,,,,,,,,,,
xerc kirin,harcamak,,xerc dikim,xerc dikî,xerc dike,xerc dikin,xerc dikin,xerc dikin,xerc nakim,xerc nakî,xerc nake,xerc nakin,xerc nakin,xerc nakin,,,,,,,,,,,,
xesar dan,hasar vermek,,xesar didim,xesar didî,xesar dide,xesar didin,xesar didin,xesar didin,xesar nadim,xesar nadî,xesar nade,xesar nadin,xesar nadin,xesar nadin,,,,,,,,,,,,
xew dîtin,rüya görmek,,,,,,,,,,,,,,,,,,,,,,,,,
xeyal kirin,hayal etmek,,xeyal dikim,xeyal dikî,xeyal dike,xeyal dikin,xeyal dikin,xeyal dikin,xeyal nakim,xeyal nakî,xeyal nake,xeyal nakin,xeyal nakin,xeyal nakin,,,,,,,,,,,,
xêz kirin,çizmek,,xêz dikim,xêz dikî,xêz dike,xêz dikin,xêz dikin,xêz dikin,xêz nakim,xêz nakî,xêz nake,xêz nakin,xêz nakin,xêz nakin,,,,,,,,,,,,
xû kirin,nefret etmek,,xû dikim,xû dikî,xû dike,xû dikin,xû dikin,xû dikin,xû nakim,xû nakî,xû nake,xû nakin,xû nakin,xû nakin,,,,,,,,,,,,
xwarin,yemek yemek,,dixwim,dixwî,dixwe,dixin,dixin,dixin,naxwim,naxwî,naxwe,naxwin,naxwin,naxwin,,,,,,,,,,,,
xwe veşartin,saklanmak,,,,,,,,,,,,,,,,,,,,,,,,,
xwemal bûn,ait olmak,,xwemal dibim,xwemal dibî,xwemal dibe,xwemal dibin,xwemal dibin,xwemal dibin,xwemal nabim,xwemal nabî,xwemal nabe,xwemal nabin,xwemal nabin,xwemal nabin,,,,,,,,,,,,
xwendin,okumak,,dixwînim,dixwînî,dixwîne,dixwînin,dixwînin,dixwînin,naxwînim,naxwînî,naxwîne,naxwînin,naxwînin,naxwînin,,,,,,,,,,,,
xwestin,istemek,,dixwazim,dixwazî,dixwaze,dixwazin,dixwazin,dixwazin,naxwazim,naxwazî,naxwaze,naxwazin,naxwazin,naxwazin,,,,,,,,,,,,
zan,doğurmak,,dizem,dizeyî,dizeye,dizeyin,dizeyin,dizeyin,nazem,nazeyî,nazeye,nazeyin,nazeyin,nazeyin,,,,,,,,,,,,
zanîn,bilmek,,dizanim,dizanî,dizane,dizanin,dizanin,dizanin,nazanim,nazanî,nazane,nazanin,nazanin,nazanin,,,,,,,,,,,,
zarve kirin,taklit etmek,,zarve dikim,zarve dikî,zarve dike,zarve dikin,zarve dikin,zarve dikin,zarve nakim,zarve nakî,zarve nake,zarve nakin,zarve nakin,zarve nakin,,,,,,,,,,,,
zewicîn,evlenmek,,dizewicim,dizewicî,dizewice,dizewicin,dizewicin,dizewicin,nazewicim,nazewicî,nazewice,nazewicin,nazewicin,nazewicin,,,,,,,,,,,,
